u,i,ts,label,idx,original_date
94,4118,1552264850.0,3,294,2019-03-11 00:40:50
95,4118,1552264850.0,3,295,2019-03-11 00:40:50
46,4125,1552264857.0,1,296,2019-03-11 00:40:57
52,4159,1552264862.0,3,297,2019-03-11 00:41:02
52,4160,1552264873.0,3,298,2019-03-11 00:41:13
3,4118,1552264881.0,3,299,2019-03-11 00:41:21
50,4127,1552264890.0,1,300,2019-03-11 00:41:30
42,4161,1552264921.0,0,301,2019-03-11 00:42:01
53,4162,1552264930.0,3,302,2019-03-11 00:42:10
77,4163,1552264931.0,3,303,2019-03-11 00:42:11
96,4118,1552264935.0,3,304,2019-03-11 00:42:15
66,4136,1552264938.0,3,305,2019-03-11 00:42:18
67,4159,1552264940.0,3,306,2019-03-11 00:42:20
50,4131,1552264986.0,1,307,2019-03-11 00:43:06
56,4125,1552265009.0,1,308,2019-03-11 00:43:29
18,4118,1552265027.0,3,309,2019-03-11 00:43:47
1,4118,1552265029.0,3,310,2019-03-11 00:43:49
13,4118,1552265032.0,3,311,2019-03-11 00:43:52
4,4118,1552265036.0,3,312,2019-03-11 00:43:56
73,4118,1552265041.0,3,313,2019-03-11 00:44:01
20,4118,1552265042.0,3,314,2019-03-11 00:44:02
40,4118,1552265047.0,3,315,2019-03-11 00:44:07
96,4118,1552265049.0,3,316,2019-03-11 00:44:09
97,4118,1552265051.0,3,317,2019-03-11 00:44:11
11,4118,1552265054.0,3,318,2019-03-11 00:44:14
2,4118,1552265057.0,3,319,2019-03-11 00:44:17
50,4139,1552265058.0,1,320,2019-03-11 00:44:18
42,4164,1552265064.0,0,321,2019-03-11 00:44:24
27,4118,1552265064.0,3,322,2019-03-11 00:44:24
48,4118,1552265072.0,3,323,2019-03-11 00:44:32
12,4118,1552265084.0,3,324,2019-03-11 00:44:44
37,4118,1552265089.0,3,325,2019-03-11 00:44:49
41,4121,1552265097.0,3,326,2019-03-11 00:44:57
98,4118,1552265097.0,3,327,2019-03-11 00:44:57
14,4118,1552265104.0,3,328,2019-03-11 00:45:04
