metric,n,mean_agg_bitransformer,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
nntest_c0_acc,25,0.845037037037037,0.8807901234567901,0.03575308641975311,-0.009660011795694382,0.0811661846352006,0.32497559750455707,1.624877987522785,0.11725045619752925,100.5,0.09524041107066625,1.0,
nntest_c1_acc,25,0.9617910447761194,0.8997014925373135,-0.062089552238805974,-0.1326418448822276,0.008462740404615664,-0.3632668273601403,-1.8163341368007015,0.08183145185273955,66.0,0.2427713485933919,1.0,
nntest_c2_acc,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
nntest_c3_acc,25,0.9243624161073825,0.908724832214765,-0.015637583892617442,-0.050659507467944835,0.01938433968270995,-0.18430961871007961,-0.9215480935503979,0.36593591160849737,129.0,0.3809836506843567,1.0,
nntest_c0_precision,25,0.6936411315762977,0.5967253323575012,-0.09691579921879657,-0.24050575618904557,0.04667415775145241,-0.2786049704689982,-1.3930248523449908,0.1763823585268179,118.0,0.24106645584106445,1.0,
nntest_c1_precision,25,0.6805523769031603,0.754762706681818,0.07421032977865764,-0.1316169362898189,0.2800375958471342,0.14882633949688404,0.7441316974844201,0.4640207992526133,72.0,0.5565794125211807,1.0,
nntest_c2_precision,25,0.5584310776094753,0.49383031634002017,-0.06460076126945516,-0.34752655280093825,0.21832503026202796,-0.09425045171201185,-0.47125225856005915,0.6417162280151867,131.0,0.587190018134954,1.0,
nntest_c3_precision,25,0.9917106160783589,0.993312242044791,0.0016016259664322918,-0.0012093078599582118,0.004412559792822795,0.23519540000202613,1.1759770000101306,0.25113782516081684,121.0,0.2751842737197876,1.0,
nntest_c0_auc,25,0.9773654718112796,0.9834531955268152,0.006087723715535627,-0.0012470480003750738,0.013422495431446328,0.3425994620344572,1.712997310172286,0.09960434860896702,122.0,0.2872292995452881,1.0,
nntest_c1_auc,25,0.9973034497788963,0.9857104491672584,-0.011593000611638003,-0.028444231226388894,0.005258230003112888,-0.28397661671507773,-1.4198830835753886,0.16850186003483109,90.0,0.2360189360536452,1.0,
nntest_c2_auc,25,0.9999580223880596,0.9994993781094528,-0.00045864427860697,-0.0014983516181495925,0.0005810630609356525,-0.18208879189643212,-0.9104439594821606,0.37164222337616387,3.0,1.0,1.0,
nntest_c3_auc,25,0.9736265862049518,0.9821376402910157,0.008511054086063972,-0.004150097103498625,0.02117220527562657,0.2774779642572549,1.3873898212862743,0.17807226665765621,128.0,0.3665854334831238,1.0,
nntest_c0_recall,25,0.845037037037037,0.8807901234567901,0.03575308641975311,-0.009660011795694382,0.0811661846352006,0.32497559750455707,1.624877987522785,0.11725045619752925,100.5,0.09524041107066625,1.0,
nntest_c1_recall,25,0.9617910447761194,0.8997014925373135,-0.062089552238805974,-0.1326418448822276,0.008462740404615664,-0.3632668273601403,-1.8163341368007015,0.08183145185273955,66.0,0.2427713485933919,1.0,
nntest_c2_recall,25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
nntest_c3_recall,25,0.9243624161073825,0.908724832214765,-0.015637583892617442,-0.050659507467944835,0.01938433968270995,-0.18430961871007961,-0.9215480935503979,0.36593591160849737,129.0,0.3809836506843567,1.0,
