metric,n,mean_cat_tgn_mean,mean_BiTA,mean_diff,ci95_lo,ci95_hi,cohens_dz,t,p_ttest,W,p_wilcoxon,p_ttest_holm,sig
nntest_c2_precision,10,0.4488263305322128,0.6449791144527987,0.1961527839205858,-0.3745919592099801,0.7668975270511517,0.2458528970995053,0.7774551241854408,0.4568389782787385,18.0,0.375,1.0,
nntest_c3_precision,10,0.9904122322545605,0.9940820954868836,0.0036698632323231783,-0.00039737858319440584,0.007737105047840762,0.6454649431450461,2.0411393701294323,0.07163301743562599,11.0,0.10546875,1.0,
nntest_c0_auc,10,0.9749034515087684,0.9827788115313677,0.007875360022599264,-0.020270361308887475,0.03602108135408601,0.20016162004948285,0.6329666195055907,0.5425018810060949,20.0,0.4921875,1.0,
nntest_c1_auc,10,0.9954977819334792,0.9990759813743342,0.00357819944085509,-0.003452223572300233,0.010608622454010414,0.3640875771153983,1.151346011456856,0.2792577105742073,13.0,0.546875,1.0,
nntest_c2_auc,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,
nntest_c3_auc,10,0.9747100769838136,0.9881962734758332,0.013486196492019587,-0.007607673233819012,0.03458006621785818,0.45735770255687513,1.446292045501541,0.18200589939457287,13.0,0.16015625,1.0,
nntest_c0_recall,10,0.8617283950617285,0.9069135802469136,0.04518518518518524,-0.017706208883965895,0.10807657925433636,0.5139579865926465,1.6252778592670454,0.13854879062799316,14.0,0.193359375,1.0,
nntest_c1_recall,10,0.9805970149253731,0.8611940298507463,-0.11940298507462688,-0.2780876308556023,0.03928166070634853,-0.538273564819508,-1.7021704690879262,0.12292975111598868,9.0,0.25,1.0,
nntest_c2_recall,10,0.9,1.0,0.1,-0.12621571627982048,0.3262157162798205,0.31622776601683794,1.0,0.3434363961379136,0.0,1.0,1.0,
nntest_c3_recall,10,0.8964429530201343,0.9134731543624162,0.017030201342281892,-0.030342731570968687,0.06440313425553247,0.2571652500929417,0.8132279253405238,0.4370715239840588,22.0,0.625,1.0,
